learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,311,4.8,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,312,0.3,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,313,1.3,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,314,8.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,315,3.8,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,316,6.8,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,317,9.7,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,318,3.3,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,319,4.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,320,-0.5,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,321,0.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,322,-4.9,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,323,-7.9,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,324,-1.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,325,3.8,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,326,0.8,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,327,6.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,328,13.6,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,329,-0.8,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,330,-0.5,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,331,7.6,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,332,2.7,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,333,0.1,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,334,-5.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,335,14.0,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,336,8.5,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,337,-4.3,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,338,7.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,339,14.6,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,340,10.5,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,341,0.4,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,342,6.4,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,343,0.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,344,7.3,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,345,9.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,346,1.11022302463e-16,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,347,-3.2,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,348,11.1,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,349,3.3,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,350,9.0,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,351,2.6,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,352,7.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,353,-8.3,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,354,2.2,7.0,
